series_id,year,period,period_name,value,footnotes,series_name,source,generated_date
LNS14000000,2023,M12,December,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M11,November,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M10,October,3.9,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M09,September,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M08,August,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M07,July,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M06,June,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M05,May,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M04,April,3.4,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M03,March,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M02,February,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2023,M01,January,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M12,December,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M11,November,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M10,October,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M09,September,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M08,August,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M07,July,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M06,June,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M05,May,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M04,April,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M03,March,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M02,February,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2022,M01,January,4.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M12,December,3.9,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M11,November,4.2,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M10,October,4.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M09,September,4.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M08,August,5.1,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M07,July,5.4,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M06,June,5.9,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M05,May,5.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M04,April,6.1,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M03,March,6.1,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M02,February,6.2,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2021,M01,January,6.4,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M12,December,6.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M11,November,6.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M10,October,6.9,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M09,September,7.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M08,August,8.4,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M07,July,10.2,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M06,June,11.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M05,May,13.2,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M04,April,14.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M03,March,4.4,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M02,February,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2020,M01,January,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M12,December,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M11,November,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M10,October,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M09,September,3.5,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M08,August,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M07,July,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M06,June,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M05,May,3.6,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M04,April,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M03,March,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M02,February,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2019,M01,January,4.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M12,December,3.9,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M11,November,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M10,October,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M09,September,3.7,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M08,August,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M07,July,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M06,June,4.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M05,May,3.8,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M04,April,4.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M03,March,4.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M02,February,4.1,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS14000000,2018,M01,January,4.0,,Unemployment Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M12,December,60.1,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M11,November,60.4,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M10,October,60.2,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M09,September,60.4,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M08,August,60.4,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M07,July,60.4,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M06,June,60.3,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M05,May,60.3,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
LNS12300000,2023,M04,April,60.4,,Labor Force Participation Rate,BLS Labor Force Statistics,2025-10-14
